,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,,,,,,,,
Sudan,4.7,4.69,4.68,4.67,4.65,4.63,4.62,4.6,4.58,4.57,4.56,4.55,4.54,4.53,4.53,4.52,4.52,4.52,4.52,4.51,4.51,4.52,4.52,4.53,4.53,4.53,4.54,4.54,4.54,,,,,,,,
,4.946,4.942,4.94,4.932,4.922,4.912,4.902,4.894,4.884,4.876,4.868,4.854,4.846,4.836,4.834,4.826,4.822,4.816,4.812,4.808,4.808,4.808,4.804,4.798,4.794,4.786,4.786,4.778,4.776,4.84862069,0.055037918,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,4.44,4.42,4.4,4.39,4.37,4.36,4.34,4.33,4.32,4.31,4.29,4.28,4.27,4.26,4.25,4.24,4.24,4.23,4.23,4.22,4.21,4.21,4.2,4.19,4.19,4.18,4.18,4.18,4.18,,,,,,,,
Nigeria,4.66,4.63,4.59,4.56,4.52,4.48,4.44,4.4,4.36,4.33,4.3,4.27,4.24,4.21,4.19,4.17,4.15,4.14,4.13,4.12,4.12,4.11,4.11,4.11,4.11,4.11,4.12,4.12,4.12,,,,,,,,
Chad,4.53,4.51,4.49,4.47,4.45,4.43,4.42,4.4,4.39,4.38,4.36,4.35,4.33,4.32,4.29,4.27,4.25,4.24,4.22,4.2,4.18,4.16,4.15,4.14,4.13,4.13,4.12,4.11,4.1,,,,,,,,
Kenya,4.62,4.61,4.6,4.59,4.58,4.57,4.56,4.55,4.55,4.54,4.53,4.53,4.52,4.51,4.49,4.48,4.47,4.46,4.45,4.43,4.42,4.42,4.41,4.4,4.39,4.38,4.38,4.38,4.37,,,,,,,,
,4.5625,4.5425,4.52,4.5025,4.48,4.46,4.44,4.42,4.405,4.39,4.37,4.3575,4.34,4.325,4.305,4.29,4.2775,4.2675,4.2575,4.2425,4.2325,4.225,4.2175,4.21,4.205,4.2,4.2,4.1975,4.1925,4.332241379,0.118246762,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,4.84,4.82,4.8,4.78,4.76,4.74,4.72,4.7,4.67,4.66,4.64,4.62,4.61,4.59,4.59,4.58,4.58,4.57,4.57,4.57,4.57,4.57,4.56,4.56,4.55,4.55,4.54,4.54,4.54,,,,,,,,
