country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Panama,10.7,16.3,17.8,13.4,13.4,12.1,11.3,9.55,9.08,8.13,10.6,12.5,12.6,12.4,10.8,13.4,13.8,13.6,14.1,14,13.7,13.4,13.2,13,13.8,13.6,13.3,13.1,14.1
Mexico,12.3,11.5,10.7,10.5,10.9,9.67,10.4,11.3,9.23,9.17,9.61,9.71,10.3,9.96,10.2,11.1,11.7,12.3,12.5,11.7,12.1,10.7,10.6,10.5,14.4,14.9,15.6,14.4,14.2
Jamaica,19.1,17.3,17.4,19.6,23,21.1,19.6,21.6,22.5,23.8,19.7,25.9,26.6,25,25.3,27,29,30.4,26.8,25.7,24.2,24.3,24.1,24,21.5,21.6,23,25.4,25.3
China,10.4,10.8,12.1,14.3,17.2,20.3,21.9,22.1,22.8,23.2,24.1,23.6,24.7,25,26.2,26.7,27.6,28.6,29.7,31.2,32.2,32.9,34.7,34.5,35.9,37.5,38,38.2,38
Indonesia,14.9,15.2,16,16.6,17.5,17.8,18.8,19,19.1,19.7,20.6,21.6,21.1,21,21.2,22.1,22.6,24.1,25.1,25.6,27.2,28.9,28.5,28.2,37,38.3,39.3,44.7,44.2
India,3.75,3.87,3.97,4.08,4.21,4.2,4.51,4.58,4.56,4.68,4.47,4.82,4.69,4.76,4.8,5.06,5.23,5.17,5.99,5.59,5.72,5.17,5.1,5.04,6.2,6.42,6.59,6.9,6.83
South Korea,46.4,41.9,46.9,50.1,50.1,50.1,51.1,50.1,42.5,51.9,46.9,54.5,52.2,52.7,53.3,53.8,58.1,57.9,57.8,57.5,56.7,58.6,56.6,52.8,54.4,55.5,55.1,55,56.7
Japan,71.4,66.8,66.4,67.8,70.9,71.1,69.6,66.4,64.5,65.7,67.3,69.6,67.7,65.6,61.9,60.4,57.3,56.1,55.6,53.6,52.6,51.3,51.6,48.6,48.7,47.3,45.1,45.5,45.6
Denmark,22.7,22.6,24,23.7,25.5,25.5,23.2,23.4,22.8,22.9,22.3,21.4,20.5,22.9,23.1,24.5,23,22.1,22.2,23.1,23,23,22.8,23.2,23,22.9,22.8,22.7,26.6
Norway,44.7,44.5,44.3,44.6,50,50.5,53,52.3,52.9,48.6,49.8,49.4,50.1,47.6,51.8,52.4,51.3,52.2,53.4,53.2,54.1,53.3,52.9,52.1,50.8,50,51.5,51.4,51
Sweden,27.5,27.7,27.9,28.2,27.9,27.8,26.4,28.9,27.8,27.8,28.1,29,30.4,32.5,32.5,32.6,31.6,32.7,32.4,29.9,31.2,31.2,30.8,32,35,33.3,32.2,32.8,32.6
Finland,30.5,30.3,32.1,31.7,32.6,33.3,33.8,33.1,32.6,31.3,31.4,31.7,31.9,33.7,34.3,31.6,34.1,36.2,34.9,34.3,36,36.6,36.5,36.4,35.8,34.8,31.8,33.6,33.5
Russia,18.9737,18.9737,18.7,14.3,12,18.2,20.4,22.7,21.9,19.5,17.9,17.7,16.9,17.3,16.7,18.6,18.6,22.4,21.7,22.7,22.3,22.2,23.8,22.9,22.5,20.1,20.6,20.1,20
Ukraine,12.8132,12.8132,10.1,7.55,5.36,8.05,10.7,9.29,13.7,11,12.9,14,13.1,12.9,12.5,16.7,15.8,17.9,21.9,16.3,13.7,14.2,14.2,17,12.6,9.27,10.4,11.7,11.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,15.82339475,15.48564475,15.68722225,15.85075,16.25375,16.58825,16.824,16.76625,16.7915,16.76775,16.702,17.523,17.1165,17.346,17.403,17.866,18.39675,18.6035,18.49275,18.04825,18.26175,18.532,18.428,18.42625,18.926,18.67125,18.61475,18.8645,18.846
